url,titulo,preco,vendas,teste,marca
https://produto.mercadolivre.com.br/MLB-1168103999-parafusadeira-furadeira-18v-12-biv-ws2938k2-wesco-_JM?searchVariation=72432167183#searchVariation=72432167183&position=49&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Parafusadeira Furadeira 18v 1/2'' Biv Ws2938k2 Wesco,669,69,15,Wesco
https://produto.mercadolivre.com.br/MLB-1559418415-furadeira-parafusadeira-bateria-12v-imp-hp333dwyx3-makita-_JM?searchVariation=70508341778#searchVariation=70508341778&position=43&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira Parafusadeira Bateria 12v Imp Hp333dwyx3 Makita ,584,5,15,Makita
https://produto.mercadolivre.com.br/MLB-1648039407-furadeira-de-impacto-38-560w-black-decker-tm500-_JM?searchVariation=174237712671#searchVariation=174237712671&position=42&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira De Impacto 3/8 560w Black & Decker Tm500,263,3,15,Black+Decker
https://produto.mercadolivre.com.br/MLB-1181368921-furadeira-de-impacto-com-maleta-27-acessorios-_JM?searchVariation=33160023326#searchVariation=33160023326&position=46&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira De Impacto Com Maleta +27 Acessórios ,229,29,15,Importway
https://produto.mercadolivre.com.br/MLB-1191071729-parafusadeira-furadeira-bateria-df330dz-makita-sbateria-_JM?searchVariation=69800296397#searchVariation=69800296397&position=44&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Parafusadeira Furadeira À Bateria Df330dz Makita- S/bateria,348,51,15,Makita
https://produto.mercadolivre.com.br/MLB-1824159307-furadeira-de-impacto-eletrica-uso-profissional-hammer-_JM?searchVariation=78883949523#searchVariation=78883949523&position=50&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira De Impacto Eletrica Uso Profissional Hammer,129,10,15,Hammer
https://produto.mercadolivre.com.br/MLB-2211954449-bomba-de-agua-submersivel-dc-12v-mini-micro-motor-sem-escov-_JM?searchVariation=174323218531#searchVariation=174323218531&position=41&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,"Bomba De Água Submersível, Dc 12v Mini Micro Motor Sem Escov",114,2,15,Generic
https://produto.mercadolivre.com.br/MLB-2045286596-furadeiraparafusadeira-de-impacto-13mm-800w-auto-reverso-_JM?searchVariation=173767353343#searchVariation=173767353343&position=37&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira/parafusadeira De Impacto 13mm 800w - Auto Reverso,257,13,15,Nakasaki
https://produto.mercadolivre.com.br/MLB-2058525372-furadeira-de-impacto-12-600w-kit-200-pecas-titanium-_JM?searchVariation=173816082108#searchVariation=173816082108&position=38&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira De Impacto 1/2'' 600w + Kit 200 Peças Titanium,302,28,15,Multilaser
https://produto.mercadolivre.com.br/MLB-1769341707-furadeira-parafusadeira-impacto-18v-gsb-18v-50-bosch-bivolt-_JM?searchVariation=83978885465#searchVariation=83978885465&position=36&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira Parafusadeira Impacto 18v Gsb 18v-50 Bosch Bivolt,1.155,28,15,Bosch
